url,title,authors,summary,cited_by,pdf_url,pdf_path
http://journals.aps.org/prl/abstract/10.1103/PhysRevLett.61.2921,New type of Einstein-Podolsky-Rosen-Bohm experiment using pairs of light quanta produced by optical parametric down conversion,"YH Shih, CO Alley - Physical Review Letters, 1988 - APS",Abstract A pair of correlated light quanta of 532-nm wavelength with the same linear polarization but divergent directions of propagation was produced by nonlinear optical parametric down conversion. Each light quantum was converted to a definite polarization  ...,837,http://www.researchgate.net/profile/Alexander_Sergienko2/publication/13235487_Einstein-Podolsky-Rosen-Bohm_experiment_using_pairs_of_light_quanta_produced_by_type-II_parametric_down-conversion/links/00b4953a9d3b537cbd000000.pdf,pdfs\67.pdf
http://link.springer.com/chapter/10.1007/978-3-662-13844-1_3,[BOOK][B] The quantum theory of measurement,"P Busch, PJ Lahti, P Mittelstaedt - 1991 - Springer","Abstract The purpose of measurements is the determination of properties of the physical system under investigation. In this sense the general conception of measurement is that of an unambiguous comparison: the object system S, prepared in a state T, is brought into a  ...",807,,
http://journals.aps.org/rmp/abstract/10.1103/RevModPhys.42.358,The statistical interpretation of quantum mechanics,"LE Ballentine - Reviews of Modern Physics, 1970 - APS",Abstract The Statistical Interpretation of quantum theory is formulated for the purpose of providing a sound interpretation using a minimum of assumptions. Several arguments are advanced in favor of considering the quantum state description to apply only to an  ...,807,http://www.kevinaylward.co.uk/qm/ballentine_ensemble_interpretation_1970.pdf,pdfs\69.pdf
http://journals.aps.org/pra/abstract/10.1103/PhysRevA.50.67,Squeezed atomic states and projection noise in spectroscopy,"DJ Wineland, JJ Bollinger, WM Itano, DJ Heinzen - Physical Review A, 1994 - APS","Abstract We investigate the properties of angular-momentum states which yield high sensitivity to rotation. We discuss the application of these ''squeezed-spin''or correlated-particle states to spectroscopy. Transitions in an ensemble of N two-level (or, equivalently,  ...",795,http://www.researchgate.net/profile/Wayne_Itano/publication/13378001_Squeezed_atomic_states_and_projection_noise_in_spectroscopy/links/54354dfa0cf2bf1f1f2877d2.pdf,pdfs\70.pdf
https://books.google.com/books?hl=en&lr=&id=tDFeS8Lg9ScC&oi=fnd&pg=PR7&ots=0pM2kDTmtI&sig=QVBwW1f2kadOEqWD-QAszal1CkU,[BOOK][B] Quantum mechanics and experience,"DZ Albert, DZ Albert - 2009 - books.google.com","This book was written both as an elementary text and as an attempt to add to what we presently understand, at the most advanced level, about what seems to me to be the central difficulty at the foundations of quantum mechanics, which is the difficulty about  ...",796,,
http://www.nature.com/nature/journal/v403/n6769/abs/403515a0.html,Experimental test of quantum nonlocality in three-photon Greenberger–Horne–Zeilinger entanglement,"JW Pan, D Bouwmeester, M Daniell, H Weinfurter… - Nature, 2000 - nature.com",Abstract Bell's theorem 1 states that certain statistical correlations predicted by quantum physics for measurements on two-particle systems cannot be understood within a realistic picture based on local properties of each individual particle—even if the two particles are  ...,793,http://www.nature.com/nature/journal/v403/n6769/full/403515a0.html,pdfs\72.pdf
http://arxiv.org/abs/hep-ph/0210213,HERWIG 6.5 release note,"G Corcella, IG Knowles, G Marchesini, S Moretti… - arXiv preprint hep-ph/ …, 2002 - arxiv.org",Abstract: A new release of the Monte Carlo program HERWIG (version 6.5) is now available. The main new features are: support for the Les Houches interface to matrix element generators; additional SM and MSSM Higgs processes in lepton collisions; additional  ...,789,http://arxiv.org/pdf/hep-ph/0210213,pdfs\73.pdf
http://journals.aps.org/prl/abstract/10.1103/PhysRevLett.62.2205,Bell inequality for position and time,"JD Franson - Physical Review Letters, 1989 - APS",Abstract The quantum-mechanical uncertainty in the position of a particle or the time of its emission is shown to produce observable effects that are inconsistent with any local hidden-variable theory. A new experimental test of local hidden-variable theories based on optical  ...,792,http://people.isy.liu.se/en/icg/jalar/kurser/QF/assignments/Franson1989.pdf,pdfs\74.pdf
http://www.sciencemag.org/content/288/5473/2024.short,Step-by-step engineered multiparticle entanglement,"A Rauschenbeutel, G Nogues, S Osnaghi, P Bertet… - Science, 2000 - sciencemag.org","Abstract After quantum particles have interacted, they generally remain in an entangled state and are correlated at a distance by quantum-mechanical links that can be used to transmit and process information in nonclassical ways. This implies programmable sequences of  ...",783,http://www.nat.vu.nl/~comop/pdf/nov5.pdf,pdfs\75.pdf
http://www.dia.unisa.it/professori/parente/QUANTUM/salerno1.ps,[PS][PS] QUANTUM COMPUTING 1.,"J Gruska, C Republik - 2004 - dia.unisa.it","6. Quantum Turing machines Quantum unitary operation based Turing machines; quantum measurement based Turing machines; Quantum complexity theory basics 7. General quantum states, operations and measurements Quantum mixed states and density  ...",783,http://www.dia.unisa.it/professori/parente/QUANTUM/salerno1.ps,pdfs\76.pdf
http://journals.aps.org/pra/abstract/10.1103/PhysRevA.52.R3429,Optical imaging by means of two-photon quantum entanglement,"TB Pittman, YH Shih, DV Strekalov, AV Sergienko - Physical Review A, 1995 - APS",Abstract A two-photon optical imaging experiment was performed based on the quantum nature of the signal and idler photon pairs produced in spontaneous parametric down-conversion. An aperture placed in front of a fixed detector is illuminated by the signal  ...,775,http://people.bu.edu/alexserg/OptImaging.pdf,pdfs\77.pdf
http://philpapers.org/rec/REDINA,"Incompleteness, nonlocality, and realism: a prolegomenon to the philosophy of quantum mechanics",M Redhead - 1987 - philpapers.org,"Abstract Aiming to unravel the mystery of quantum mechanics, this book is concerned with questions about action-at-a-distance, holism, and whether quantum mechanics gives a complete account of microphysical reality. With rigorous arguments and clear thinking, the  ...",756,,
